Invoice ID,City,Product line,Unit price,Quantity,Sales,Date,Time
268-27-6179,Paris,Fashion accessories,56.47,8,474.348,3/9/2019,2:57:00 PM
668-90-8900,Berlin,Home and lifestyle,93.69,7,688.6215,3/10/2019,6:44:00 PM
870-54-3162,Berlin,Sports and travel,32.25,5,169.3125,1/27/2019,1:26:00 PM
189-08-9157,Madrid,Fashion accessories,31.73,9,299.8485,1/8/2019,4:17:00 PM
663-86-9076,Madrid,Food and beverages,68.54,8,575.736,1/8/2019,3:57:00 PM
549-84-7482,Paris,Sports and travel,90.28,9,853.146,2/8/2019,11:15:00 AM
191-10-6171,Paris,Fashion accessories,39.62,7,291.207,1/25/2019,1:18:00 PM
802-70-5316,Berlin,Sports and travel,92.13,6,580.419,3/6/2019,8:34:00 PM
695-51-0018,Paris,Sports and travel,34.84,4,146.328,2/10/2019,6:36:00 PM
590-83-4591,Paris,Electronic accessories,87.45,6,550.935,2/17/2019,2:40:00 PM
483-71-1164,Madrid,Health and beauty,81.3,6,512.19,3/8/2019,4:43:00 PM
597-78-7908,Madrid,Fashion accessories,90.22,3,284.193,2/18/2019,7:39:00 PM
700-81-1757,Berlin,Electronic accessories,26.31,5,138.1275,1/18/2019,8:59:00 PM
354-39-5160,Berlin,Home and lifestyle,34.42,6,216.846,2/18/2019,3:39:00 PM
241-72-9525,Paris,Sports and travel,51.91,10,545.055,2/16/2019,12:21:00 PM
575-30-8091,Berlin,Sports and travel,72.5,8,609,3/16/2019,7:25:00 PM
731-81-9469,Madrid,Sports and travel,89.8,10,942.9,1/23/2019,1:00:00 PM
280-17-4359,Madrid,Health and beauty,90.5,10,950.25,1/25/2019,1:48:00 PM
338-65-2210,Madrid,Health and beauty,68.6,10,720.3,2/5/2019,7:57:00 PM
488-25-4221,Madrid,Food and beverages,30.41,1,31.9305,2/22/2019,10:36:00 AM
239-10-7476,Berlin,Home and lifestyle,77.95,6,491.085,1/21/2019,4:37:00 PM
458-41-1477,Madrid,Health and beauty,46.26,6,291.438,3/8/2019,5:11:00 PM
685-64-1609,Berlin,Fashion accessories,30.14,10,316.47,2/10/2019,12:28:00 PM
568-90-5112,Madrid,Health and beauty,66.14,4,277.788,3/19/2019,12:46:00 PM
262-47-2794,Paris,Home and lifestyle,71.86,8,603.624,3/6/2019,3:07:00 PM
238-49-0436,Berlin,Health and beauty,32.46,8,272.664,3/27/2019,1:48:00 PM
608-96-3517,Paris,Fashion accessories,91.54,4,384.468,3/23/2019,7:20:00 PM
584-86-7256,Madrid,Sports and travel,34.56,7,254.016,3/11/2019,4:07:00 PM
746-94-0204,Berlin,Fashion accessories,83.24,9,786.618,1/29/2019,11:56:00 AM
214-17-6927,Madrid,Food and beverages,16.48,6,103.824,2/7/2019,6:23:00 PM
400-89-4171,Madrid,Sports and travel,80.97,8,680.148,1/28/2019,1:05:00 PM
782-95-9291,Berlin,Food and beverages,92.29,5,484.5225,2/20/2019,3:55:00 PM
279-74-2924,Paris,Electronic accessories,72.17,1,75.7785,1/4/2019,7:40:00 PM
307-85-2293,Paris,Home and lifestyle,50.28,5,263.97,3/7/2019,1:58:00 PM
743-04-1105,Paris,Health and beauty,97.22,9,918.729,3/30/2019,2:43:00 PM
423-57-2993,Paris,Sports and travel,93.39,6,588.357,3/27/2019,7:18:00 PM
894-41-5205,Madrid,Food and beverages,43.18,8,362.712,1/19/2019,7:39:00 PM
275-28-0149,Berlin,Sports and travel,63.69,1,66.8745,2/25/2019,4:21:00 PM
101-17-6199,Berlin,Food and beverages,45.79,7,336.5565,3/13/2019,7:44:00 PM
423-80-0988,Madrid,Sports and travel,76.4,2,160.44,1/30/2019,7:42:00 PM
548-46-9322,Paris,Food and beverages,39.9,10,418.95,2/20/2019,3:24:00 PM
505-02-0892,Paris,Health and beauty,42.57,8,357.588,2/25/2019,2:12:00 PM
234-65-2137,Madrid,Home and lifestyle,95.58,10,1003.59,1/16/2019,1:32:00 PM
687-47-8271,Berlin,Fashion accessories,98.98,10,1039.29,2/8/2019,4:20:00 PM
796-32-9050,Berlin,Food and beverages,51.28,6,323.064,1/19/2019,4:31:00 PM
105-31-1824,Berlin,Sports and travel,69.52,7,510.972,2/1/2019,3:10:00 PM
249-42-3782,Berlin,Health and beauty,70.01,5,367.5525,1/3/2019,11:36:00 AM
316-55-4634,Paris,Food and beverages,80.05,5,420.2625,1/26/2019,12:45:00 PM
733-33-4967,Madrid,Electronic accessories,20.85,8,175.14,3/3/2019,7:17:00 PM
608-27-6295,Paris,Electronic accessories,52.89,6,333.207,1/19/2019,5:34:00 PM
414-12-7047,Paris,Food and beverages,19.79,8,166.236,1/18/2019,12:04:00 PM
827-26-2100,Berlin,Home and lifestyle,33.84,9,319.788,3/21/2019,4:21:00 PM
175-54-2529,Berlin,Food and beverages,22.17,8,186.228,3/3/2019,5:01:00 PM
139-52-2867,Madrid,Fashion accessories,22.51,7,165.4485,2/13/2019,10:50:00 AM
407-63-8975,Berlin,Food and beverages,73.88,6,465.444,3/23/2019,7:16:00 PM
342-65-4817,Madrid,Health and beauty,86.8,3,273.42,1/28/2019,4:47:00 PM
130-98-8941,Madrid,Fashion accessories,64.26,7,472.311,2/9/2019,10:00:00 AM
434-83-9547,Madrid,Food and beverages,38.47,8,323.148,1/23/2019,11:51:00 AM
851-28-6367,Berlin,Sports and travel,15.5,10,162.75,3/23/2019,10:55:00 AM
824-88-3614,Madrid,Health and beauty,34.31,8,288.204,1/25/2019,3:00:00 PM
586-25-0848,Berlin,Sports and travel,12.34,7,90.699,3/4/2019,11:19:00 AM
895-66-0685,Paris,Food and beverages,18.08,3,56.952,3/5/2019,7:46:00 PM
305-14-0245,Paris,Home and lifestyle,94.49,8,793.716,3/3/2019,7:00:00 PM
732-04-5373,Paris,Home and lifestyle,46.47,4,195.174,2/8/2019,10:53:00 AM
400-60-7251,Berlin,Home and lifestyle,74.07,1,77.7735,2/10/2019,12:50:00 PM
593-65-1552,Madrid,Home and lifestyle,69.81,4,293.202,1/28/2019,8:50:00 PM
284-34-9626,Paris,Home and lifestyle,77.04,3,242.676,2/11/2019,10:39:00 AM
437-58-8131,Paris,Fashion accessories,73.52,2,154.392,1/15/2019,1:41:00 PM
286-43-6208,Madrid,Food and beverages,87.8,9,829.71,3/16/2019,7:08:00 PM
641-43-2399,Paris,Home and lifestyle,25.55,4,107.31,1/26/2019,8:23:00 PM
831-07-6050,Berlin,Electronic accessories,32.71,5,171.7275,3/19/2019,11:30:00 AM
556-86-3144,Madrid,Fashion accessories,74.29,1,78.0045,1/13/2019,7:30:00 PM
848-24-9445,Madrid,Health and beauty,43.7,2,91.77,3/26/2019,6:03:00 PM
856-22-8149,Berlin,Home and lifestyle,25.29,1,26.5545,3/23/2019,10:13:00 AM
699-01-4164,Madrid,Health and beauty,41.5,4,174.3,3/12/2019,7:58:00 PM
420-11-4919,Madrid,Food and beverages,71.39,5,374.7975,2/17/2019,7:57:00 PM
606-80-4905,Madrid,Sports and travel,19.15,6,120.645,1/29/2019,10:01:00 AM
542-41-0513,Paris,Electronic accessories,57.49,4,241.458,3/15/2019,11:57:00 AM
426-39-2418,Madrid,Electronic accessories,61.41,7,451.3635,1/14/2019,10:02:00 AM
875-46-5808,Paris,Health and beauty,25.9,10,271.95,2/6/2019,2:51:00 PM
394-43-4238,Paris,Home and lifestyle,17.77,5,93.2925,2/15/2019,12:42:00 PM
749-24-1565,Berlin,Health and beauty,23.03,9,217.6335,1/3/2019,12:02:00 PM
672-51-8681,Madrid,Electronic accessories,66.65,9,629.8425,1/4/2019,6:19:00 PM
263-87-5680,Madrid,Home and lifestyle,28.53,10,299.565,3/18/2019,5:38:00 PM
573-58-9734,Paris,Fashion accessories,30.37,3,95.6655,3/28/2019,1:41:00 PM
817-69-8206,Paris,Electronic accessories,99.73,9,942.4485,3/2/2019,7:42:00 PM
888-02-0338,Berlin,Electronic accessories,26.23,9,247.8735,1/25/2019,8:24:00 PM
677-11-0152,Madrid,Food and beverages,93.26,9,881.307,1/16/2019,6:08:00 PM
142-63-6033,Paris,Home and lifestyle,92.36,5,484.89,3/20/2019,7:17:00 PM
656-16-1063,Paris,Sports and travel,46.42,3,146.223,1/4/2019,1:24:00 PM
891-58-8335,Paris,Sports and travel,29.61,7,217.6335,3/11/2019,3:53:00 PM
802-43-8934,Berlin,Home and lifestyle,18.28,1,19.194,3/22/2019,3:05:00 PM
560-30-5617,Paris,Sports and travel,24.77,5,130.0425,3/24/2019,6:27:00 PM
319-74-2561,Berlin,Electronic accessories,94.64,3,298.116,2/21/2019,4:55:00 PM
549-03-9315,Paris,Fashion accessories,94.87,8,796.908,2/12/2019,12:58:00 PM
790-29-1172,Paris,Food and beverages,57.34,3,180.621,3/10/2019,6:59:00 PM
239-36-3640,Paris,Electronic accessories,45.35,6,285.705,1/31/2019,1:44:00 PM
468-01-2051,Paris,Food and beverages,62.08,7,456.288,3/6/2019,1:46:00 PM
389-25-3394,Madrid,Electronic accessories,11.81,5,62.0025,2/17/2019,6:06:00 PM
279-62-1445,Madrid,Fashion accessories,12.54,1,13.167,2/21/2019,12:38:00 PM
213-72-6612,Berlin,Food and beverages,43.25,2,90.825,3/20/2019,3:56:00 PM
746-68-6593,Madrid,Sports and travel,87.16,2,183.036,1/11/2019,2:29:00 PM
836-82-5858,Paris,Health and beauty,69.37,9,655.5465,1/26/2019,7:14:00 PM
583-72-1480,Madrid,Electronic accessories,37.06,4,155.652,1/31/2019,4:24:00 PM
466-61-5506,Paris,Electronic accessories,90.7,6,571.41,2/26/2019,10:52:00 AM
721-86-6247,Berlin,Home and lifestyle,63.42,8,532.728,3/11/2019,12:55:00 PM
289-65-5721,Paris,Fashion accessories,81.37,2,170.877,1/26/2019,7:28:00 PM
545-46-3100,Paris,Electronic accessories,10.59,3,33.3585,3/12/2019,1:52:00 PM
418-02-5978,Paris,Health and beauty,84.09,9,794.6505,2/11/2019,10:54:00 AM
269-04-5750,Paris,Fashion accessories,73.82,4,310.044,2/21/2019,6:31:00 PM
157-13-5295,Berlin,Health and beauty,51.94,10,545.37,3/9/2019,6:24:00 PM
645-78-8093,Berlin,Sports and travel,93.14,2,195.594,1/20/2019,6:09:00 PM
211-30-9270,Madrid,Health and beauty,17.41,5,91.4025,1/28/2019,3:16:00 PM
755-12-3214,Madrid,Fashion accessories,44.22,5,232.155,3/5/2019,5:07:00 PM
346-84-3103,Paris,Electronic accessories,13.22,5,69.405,3/2/2019,7:26:00 PM
478-06-7835,Berlin,Fashion accessories,89.69,1,94.1745,1/11/2019,11:20:00 AM
540-11-4336,Berlin,Food and beverages,24.94,9,235.683,1/11/2019,4:49:00 PM
448-81-5016,Berlin,Health and beauty,59.77,2,125.517,3/11/2019,12:01:00 PM
142-72-4741,Madrid,Fashion accessories,93.2,2,195.72,2/28/2019,6:37:00 PM
217-58-1179,Berlin,Home and lifestyle,62.65,4,263.13,1/5/2019,11:25:00 AM
376-02-8238,Paris,Home and lifestyle,93.87,8,788.508,2/2/2019,6:42:00 PM
530-90-9855,Berlin,Home and lifestyle,47.59,8,399.756,1/1/2019,2:47:00 PM
866-05-7563,Paris,Electronic accessories,81.4,3,256.41,2/9/2019,7:43:00 PM
604-70-6476,Berlin,Fashion accessories,17.94,5,94.185,1/23/2019,2:04:00 PM
799-71-1548,Berlin,Electronic accessories,77.72,4,326.424,1/7/2019,4:11:00 PM
785-13-7708,Paris,Food and beverages,73.06,7,536.991,1/14/2019,7:06:00 PM
845-51-0542,Paris,Food and beverages,46.55,9,439.8975,2/2/2019,3:34:00 PM
662-47-5456,Madrid,Fashion accessories,35.19,10,369.495,3/17/2019,7:06:00 PM
883-17-4236,Madrid,Sports and travel,14.39,2,30.219,3/2/2019,7:44:00 PM
290-68-2984,Berlin,Home and lifestyle,23.75,4,99.75,3/16/2019,11:22:00 AM
704-11-6354,Berlin,Home and lifestyle,58.9,8,494.76,1/6/2019,11:23:00 AM
110-48-7033,Paris,Fashion accessories,32.62,4,137.004,1/29/2019,2:12:00 PM
366-93-0948,Berlin,Electronic accessories,66.35,1,69.6675,1/31/2019,10:46:00 AM
729-09-9681,Berlin,Home and lifestyle,25.91,6,163.233,2/5/2019,10:16:00 AM
151-16-1484,Berlin,Electronic accessories,32.25,4,135.45,2/13/2019,12:38:00 PM
380-94-4661,Madrid,Electronic accessories,65.94,4,276.948,2/7/2019,1:05:00 PM
850-41-9669,Berlin,Electronic accessories,75.06,9,709.317,3/19/2019,1:25:00 PM
821-07-3596,Madrid,Fashion accessories,16.45,4,69.09,3/7/2019,2:53:00 PM
655-85-5130,Paris,Fashion accessories,38.3,4,160.86,3/13/2019,7:22:00 PM
447-15-7839,Berlin,Sports and travel,22.24,10,233.52,2/9/2019,11:00:00 AM
154-74-7179,Paris,Sports and travel,54.45,1,57.1725,2/26/2019,7:24:00 PM
253-12-6086,Berlin,Sports and travel,98.4,7,723.24,3/12/2019,12:43:00 PM
808-65-0703,Madrid,Home and lifestyle,35.47,4,148.974,3/14/2019,5:22:00 PM
571-94-0759,Paris,Food and beverages,74.6,10,783.3,1/8/2019,8:55:00 PM
144-51-6085,Berlin,Home and lifestyle,70.74,4,297.108,1/5/2019,4:05:00 PM
731-14-2199,Berlin,Home and lifestyle,35.54,10,373.17,1/4/2019,1:34:00 PM
783-09-1637,Paris,Sports and travel,67.43,5,354.0075,3/6/2019,6:13:00 PM
687-15-1097,Madrid,Health and beauty,21.12,2,44.352,1/3/2019,7:17:00 PM
126-54-1082,Berlin,Home and lifestyle,21.54,9,203.553,1/7/2019,11:44:00 AM
633-91-1052,Berlin,Home and lifestyle,12.03,2,25.263,1/27/2019,3:51:00 PM
477-24-6490,Paris,Health and beauty,99.71,6,628.173,2/26/2019,4:52:00 PM
566-19-5475,Paris,Fashion accessories,47.97,7,352.5795,1/7/2019,8:52:00 PM
526-86-8552,Madrid,Home and lifestyle,21.82,10,229.11,1/7/2019,5:36:00 PM
376-56-3573,Madrid,Fashion accessories,95.42,4,400.764,2/2/2019,1:23:00 PM
537-72-0426,Madrid,Fashion accessories,70.99,10,745.395,3/20/2019,4:28:00 PM
828-61-5674,Berlin,Sports and travel,44.02,10,462.21,3/20/2019,7:57:00 PM
136-08-6195,Berlin,Home and lifestyle,69.96,8,587.664,2/15/2019,5:01:00 PM
523-38-0215,Madrid,Home and lifestyle,37,1,38.85,3/6/2019,1:29:00 PM
490-29-1201,Berlin,Sports and travel,15.34,1,16.107,1/6/2019,11:09:00 AM
667-92-0055,Berlin,Health and beauty,99.83,6,628.929,3/4/2019,3:02:00 PM
565-17-3836,Berlin,Health and beauty,47.67,4,200.214,3/12/2019,2:21:00 PM
498-41-1961,Paris,Health and beauty,66.68,5,350.07,2/20/2019,6:01:00 PM
593-95-4461,Madrid,Home and lifestyle,74.86,1,78.603,3/24/2019,2:49:00 PM
226-71-3580,Madrid,Sports and travel,23.75,9,224.4375,1/31/2019,12:02:00 PM
283-79-9594,Paris,Food and beverages,48.51,7,356.5485,1/25/2019,1:30:00 PM
430-60-3493,Berlin,Home and lifestyle,94.88,7,697.368,2/3/2019,2:38:00 PM
139-20-0155,Paris,Electronic accessories,40.3,10,423.15,1/24/2019,5:37:00 PM
558-80-4082,Madrid,Electronic accessories,27.85,7,204.6975,3/14/2019,5:20:00 PM
278-97-7759,Berlin,Electronic accessories,62.48,1,65.604,2/18/2019,8:29:00 PM
316-68-6352,Berlin,Food and beverages,36.36,2,76.356,1/21/2019,10:00:00 AM
585-03-5943,Paris,Health and beauty,18.11,10,190.155,3/13/2019,11:46:00 AM
211-05-0490,Madrid,Electronic accessories,51.92,5,272.58,3/3/2019,1:42:00 PM
727-75-6477,Madrid,Electronic accessories,28.84,4,121.128,3/29/2019,2:44:00 PM
744-02-5987,Berlin,Home and lifestyle,78.38,6,493.794,1/10/2019,2:16:00 PM
307-83-9164,Berlin,Home and lifestyle,60.01,4,252.042,1/25/2019,3:54:00 PM
779-06-0012,Madrid,Home and lifestyle,88.61,1,93.0405,1/19/2019,10:21:00 AM
446-47-6729,Madrid,Fashion accessories,99.82,2,209.622,1/2/2019,6:09:00 PM
573-10-3877,Paris,Health and beauty,39.01,1,40.9605,3/12/2019,4:46:00 PM
735-06-4124,Madrid,Food and beverages,48.61,1,51.0405,2/25/2019,3:31:00 PM
439-54-7422,Berlin,Electronic accessories,51.19,4,214.998,3/18/2019,5:15:00 PM
396-90-2219,Paris,Electronic accessories,14.96,8,125.664,2/23/2019,12:29:00 PM
